college_code,college_name,city,district,region,college_type,government_or_private,autonomous,minority_status
1002,"Government College of Engineering, Amravati",Amravati,Amravati,Vidarbha,,,,
1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,Amravati,Vidarbha,,,,
1012,"Government College of Engineering,Yavatmal",Yavatmal,Yavatmal,Vidarbha,,,,
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon,Amravati,Vidarbha,,,,
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Amravati,Vidarbha,,,,
1107,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati,Amravati,Vidarbha,,,,
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati,Amravati,Vidarbha,,,,
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Amravati,Vidarbha,,,,
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Akola,Akola,Vidarbha,,,,
1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Pusad,Amravati,Vidarbha,,,,
1119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,Chikhli,Amravati,Vidarbha,,,,
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Chikhali,Amravati,Vidarbha,,,,
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Yavatmal,Yavatmal,Vidarbha,,,,
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Amravati,Vidarbha,,,,
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati,Amravati,Vidarbha,,,,
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Buldhana,Buldhana,Vidarbha,,,,
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Buldhana,Buldhana,Vidarbha,,,,
1126,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati,Amravati,Vidarbha,,,,
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati,Amravati,Vidarbha,,,,
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Yavatmal,Yavatmal,Vidarbha,,,,
1128,"Prof Ram Meghe College of Engineering and Management, Badnera",Badnera,Amravati,Vidarbha,,,,
1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Buldhana,Buldhana,Vidarbha,,,,
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Washim,Washim,Vidarbha,,,,
1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Buldhana,Buldhana,Vidarbha,,,,
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Shegaon,Amravati,Vidarbha,,,,
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Chandrapur,Chandrapur,Vidarbha,,,,
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Nagpur,Nagpur,Vidarbha,,,,
14005,"Laxminarayan Innovation Technological University, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
16006,COEP Technological University,Pune,Pune,Pune Region,,,,
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",Pune,Pune,Pune Region,,,,
16126,"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",Kolhapur,Kolhapur,Western Maharashtra,,,,
16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",Lakhewadi,Pune,Pune Region,,,,
16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",Talegaon Dabhade,Pune,Pune Region,,,,
16354,DNYANVILAS COLLEGE OF ENGINEERING,Pune,Pune,Pune Region,,,,
16355,Audyogik Shikshan Mandal's Nextgen Technical Campus,Talegaon Dabhade,Pune,Pune Region,,,,
16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,Pune,Pune,Pune Region,,,,
16361,"Zeal College of Engineering & Research, Induri, Pune (Off Campus-Induri)",Induri,Pune,Pune Region,,,,
2008,"Government College of Engineering, Aurangabad",Sambhajinagar,Chhatrapati Sambhajinagar,Marathwada,,,,
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",Sambhajinagar,Chhatrapati Sambhajinagar,Marathwada,,,,
2015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR",Latur,Latur,Marathwada,,,,
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Nanded,Marathwada,,,,
2021,"University Department of Chemical Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Mumbai,Mumbai,Mumbai Region,,,,
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Sambhajinagar,Chhatrapati Sambhajinagar,Marathwada,,,,
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Nanded,Nanded,Marathwada,,,,
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Nanded,Nanded,Marathwada,,,,
2129,"M.S. Bidve Engineering College, Latur",Latur,Latur,Marathwada,,,,
2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Dharashiv,Dharashiv,Marathwada,,,,
2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Dharashiv,Dharashiv,Marathwada,,,,
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Beed,Beed,Marathwada,,,,
2134,"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2135,"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Marathwada,,,,
2136,"Aditya Engineering College , Beed",Beed,Beed,Marathwada,,,,
2137,"Nagnathappa Halge Engineering College, Parli, Beed",Beed,Beed,Marathwada,,,,
